date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191219,9.0,9.3,8.78,8.92,18599464.0,20770494,,,,0,0,0,0,0,0,0
20191220,8.9,8.91,8.56,8.57,11421862.4,13112967,-0.0392,9.81,8.03,0,0,0,0,0,0,0
20191223,8.52,8.87,8.48,8.51,11219128.0,12915104,-0.007,9.43,7.71,0,0,0,0,0,0,0
20191224,8.57,9.1,8.55,8.95,13847865.6,15598410,0.0517,9.36,7.66,0,0,0,0,0,0,0
20191225,8.9,9.85,8.7,9.67,39989683.2,41639080,0.0804,9.85,8.06,0,0,0,1,1,0,0
20191226,9.61,10.09,9.31,9.81,30365859.2,31386277,0.0145,10.64,8.7,0,0,0,0,0,0,0
20191227,9.68,10.03,9.55,9.62,19786107.2,20131623,-0.0194,10.79,8.83,0,0,0,0,0,0,0
20191230,9.58,9.82,9.41,9.7,15974526.4,16609151,0.0083,10.58,8.66,0,0,0,0,0,0,0
20191231,9.6,9.62,9.28,9.54,11992133.6,12671455,-0.0165,10.67,8.73,0,0,0,0,0,0,0
20200102,9.56,9.67,9.37,9.62,11363364.8,11906675,0.0084,10.49,8.59,0,0,0,0,0,0,0
20200103,9.63,9.78,9.39,9.51,12832080.8,13436830,-0.0114,10.58,8.66,0,0,0,0,0,0,0
20200106,9.38,10.05,9.37,9.93,18019067.2,18379732,0.0442,10.46,8.56,0,0,0,0,0,0,0
20200107,9.85,9.9,9.64,9.71,10661904.8,10980723,-0.0222,10.92,8.94,0,0,0,0,0,0,0
20200108,9.68,10.22,9.54,9.74,19686811.2,19882728,0.0031,10.68,8.74,0,0,0,0,0,0,0
20200109,9.78,9.97,9.61,9.77,11156211.2,11443040,0.0031,10.71,8.77,0,0,0,0,0,0,0
20200110,9.69,9.96,9.61,9.8,10260070.4,10453240,0.0031,10.75,8.79,0,0,0,0,0,0,0
20200113,9.81,10.15,9.81,9.98,10468502.4,10504513,0.0184,10.78,8.82,0,0,0,0,0,0,0
20200114,10.14,10.55,9.9,10.29,15889916.8,15503988,0.0311,10.98,8.98,0,0,0,0,0,0,0
20200115,10.12,10.17,9.81,10.1,14698040.0,14715283,-0.0185,11.32,9.26,0,0,0,0,0,0,0
20200116,10.07,10.07,9.61,9.63,11362656.8,11630338,-0.0465,11.11,9.09,0,0,0,0,0,0,0
20200117,9.65,9.8,9.38,9.38,13500240.0,14184880,-0.026,10.59,8.67,0,0,0,0,0,0,0
20200120,9.41,9.55,9.29,9.41,11211975.2,11950385,0.0032,10.32,8.44,0,0,0,0,0,0,0
20200121,9.35,9.48,9.21,9.27,6548040.4,7033155,-0.0149,10.35,8.47,0,0,0,0,0,0,0
20200122,9.3,9.47,9.05,9.38,6408287.6,6880814,0.0119,10.2,8.34,0,0,0,0,0,0,0
20200123,9.3,9.72,8.98,9.08,10760791.2,11503152,-0.032,10.32,8.44,0,0,0,0,0,0,0
20200203,8.17,8.17,8.17,8.17,1518639.6,1858800,-0.1002,9.99,8.17,0,1,0,0,0,1,0
20200204,7.42,8.88,7.42,8.65,12660480.0,15046705,0.0588,8.99,7.35,0,0,0,0,1,0,0
20200205,8.75,9.46,8.74,9.17,11030737.6,11942776,0.0601,9.52,7.78,0,0,0,0,0,0,0
20200206,9.1,9.24,8.89,9.1,9245386.4,10146525,-0.0076,10.09,8.25,0,0,0,0,0,0,0
20200207,9.1,9.14,8.88,9.14,6080870.4,6737326,0.0044,10.01,8.19,0,0,0,0,0,0,0
20200210,9.06,9.75,9.06,9.69,17357958.4,18514828,0.0602,10.05,8.23,0,0,0,0,0,0,0
20200211,9.55,9.65,9.35,9.52,9409046.4,9914815,-0.0175,10.66,8.72,0,0,0,0,0,0,0
20200212,9.55,9.95,9.46,9.84,9806829.6,10037448,0.0336,10.47,8.57,0,0,0,0,0,0,0
20200213,9.84,10.15,9.65,9.69,13047239.2,13257073,-0.0152,10.82,8.86,0,0,0,0,0,0,0
20200214,9.6,9.75,9.38,9.5,10663940.0,11164847,-0.0196,10.66,8.72,0,0,0,0,0,0,0
20200217,9.59,9.96,9.53,9.88,14556377.6,14945211,0.04,10.45,8.55,0,0,0,0,0,0,0
20200218,10.0,10.84,9.92,10.58,23685118.4,22724294,0.0709,10.87,8.89,0,0,0,0,0,0,0
20200219,10.44,10.54,10.09,10.27,19152268.8,18620412,-0.0293,11.64,9.52,0,0,0,0,0,0,0
20200220,10.25,10.44,10.05,10.4,12476404.0,12165703,0.0127,11.3,9.24,0,0,0,0,0,0,0
20200221,10.6,10.6,10.17,10.28,13205968.0,12760232,-0.0115,11.44,9.36,0,0,0,0,0,0,0
20200224,10.35,10.38,10.05,10.26,13962568.0,13694106,-0.0019,11.31,9.25,0,0,0,0,0,0,0
20200225,10.0,10.15,9.5,9.92,17791740.8,18032503,-0.0331,11.29,9.23,0,0,0,0,0,0,0
20200226,9.66,10.03,9.55,9.62,13252417.6,13563797,-0.0302,10.91,8.93,0,0,0,0,0,0,0
20200227,9.65,10.05,9.53,9.92,13873430.4,14069053,0.0312,10.58,8.66,0,0,0,0,0,0,0
20200228,9.69,9.83,9.04,9.19,11214005.6,11950366,-0.0736,10.91,8.93,0,0,0,0,0,0,0
20200302,9.19,9.45,9.19,9.27,10708114.4,11464417,0.0087,10.11,8.27,0,0,0,0,0,0,0
20200303,9.43,9.63,9.17,9.27,10099288.0,10725917,0.0,10.2,8.34,0,0,0,0,0,0,0
20200304,9.1,9.24,8.82,8.99,11543546.4,12806500,-0.0302,10.2,8.34,0,0,0,0,0,0,0
20200305,9.12,9.43,9.03,9.38,11710872.0,12649197,0.0434,9.89,8.09,0,0,0,0,0,0,0
20200306,9.22,9.31,9.11,9.22,6832700.0,7404000,-0.0171,10.32,8.44,0,0,0,0,0,0,0
