date,open,high,low,close,amount,vol
20191219,4.71,4.85,4.71,4.83,2121087.8,4430902
20191220,4.84,4.95,4.84,4.85,1933882.4,3960801
20191223,4.87,4.87,4.65,4.65,1310094.5,2760601
20191224,4.67,4.82,4.66,4.82,1079991.5,2277702
20191225,4.81,4.83,4.73,4.77,771510.1,1615600
20191226,4.77,4.85,4.75,4.8,1048645.8,2188208
20191227,4.81,4.85,4.77,4.77,754658.5,1566600
20191230,4.77,4.84,4.63,4.81,1162090.7,2442300
20191231,4.81,4.85,4.74,4.8,1009661.6,2111376
20200102,4.8,4.89,4.78,4.86,1461823.7,3016400
20200103,4.86,4.99,4.82,4.93,2232505.0,4544391
20200106,4.9,5.01,4.85,4.97,1897054.6,3836801
20200107,4.97,5.09,4.96,5.05,1586558.9,3151582
20200108,5.03,5.13,4.9,4.95,1798216.4,3594600
20200109,4.94,5.05,4.94,5.0,1084309.0,2168599
20200110,5.03,5.04,4.87,4.93,1174478.7,2380145
20200113,4.93,4.94,4.74,4.85,2389991.6,4955301
20200114,4.84,4.91,4.78,4.88,1708667.2,3523872
20200115,4.85,4.85,4.68,4.74,1473726.0,3094395
20200116,4.75,4.77,4.6,4.64,1557637.8,3339800
20200117,4.64,4.66,4.55,4.55,1537633.6,3345742
20200120,4.6,4.73,4.6,4.65,1700908.6,3658102
20200121,4.6,4.6,4.44,4.56,1270700.8,2796161
20200122,4.5,4.52,4.39,4.4,2264077.6,5114074
20200123,4.41,4.42,4.05,4.14,2395378.8,5708377
20200203,3.73,3.73,3.73,3.73,195601.2,524400
20200204,3.36,3.63,3.36,3.5,2300958.8,6633580
20200205,3.54,3.64,3.49,3.58,1832232.6,5102979
20200206,3.61,3.7,3.57,3.66,1360933.2,3747541
20200207,3.69,3.75,3.65,3.73,1249317.0,3378496
20200210,3.68,3.87,3.68,3.83,1470273.7,3865200
20200211,3.85,3.9,3.75,3.77,1232731.3,3236800
20200212,3.77,3.92,3.75,3.89,1410871.6,3663210
20200213,3.89,3.95,3.79,3.85,1154440.3,2994527
20200214,3.86,3.88,3.75,3.83,863318.2,2254602
20200217,3.85,4.01,3.83,3.98,1487999.3,3765916
20200218,4.01,4.12,3.99,4.11,1561667.2,3852510
20200219,4.11,4.17,4.08,4.11,1511980.3,3665638
20200220,4.15,4.17,4.09,4.15,1259216.8,3045224
20200221,4.2,4.29,4.17,4.23,1179327.9,2779902
20200224,4.2,4.28,4.14,4.2,1301067.4,3107621
20200225,4.18,4.18,3.94,4.13,1682343.8,4142070
20200226,4.11,4.26,4.09,4.11,2004355.6,4827450
20200227,4.11,4.16,4.06,4.08,1133559.4,2763140
20200228,4.01,4.01,3.75,3.79,1489195.5,3835000
20200302,3.82,4.05,3.81,3.97,1466397.7,3698601
20200303,4.04,4.1,3.86,3.9,1757302.8,4438722
20200304,3.86,4.0,3.85,3.97,1419484.1,3600100
20200305,3.99,4.17,3.98,4.16,2344949.0,5706318
20200306,4.09,4.29,4.07,4.21,1956591.8,4660931
