date,open,high,low,close,amount,vol
20191217,6.39,6.46,6.33,6.42,1226686.7,1920414
20191218,6.43,6.48,6.37,6.39,930151.7,1448001
20191219,6.4,6.51,6.34,6.5,962559.7,1493302
20191220,6.53,6.56,6.44,6.45,961632.3,1480302
20191223,6.45,7.1,6.4,6.76,5556026.4,8165648
20191224,6.77,7.14,6.57,7.05,4869283.2,7082812
20191225,6.93,7.4,6.91,7.2,5316920.0,7413857
20191226,7.18,7.43,7.11,7.43,4354405.6,5949978
20191227,7.38,7.54,7.33,7.48,3797871.2,5106778
20191230,7.4,7.93,7.37,7.65,4603386.8,6078454
20191231,7.23,7.8,7.23,7.64,5004396.0,6674423
20200102,7.6,8.4,7.55,8.4,8348440.0,10278530
20200103,8.43,8.78,8.11,8.32,7945505.6,9409248
20200106,8.17,9.15,8.17,9.15,11031237.6,12322661
20200107,9.19,9.82,9.09,9.69,9439243.2,10080257
20200108,9.46,9.66,8.95,9.22,9375076.0,10079192
20200109,9.23,9.6,9.1,9.43,5196806.0,5533994
20200110,9.52,10.36,9.21,10.17,8294420.8,8365442
20200113,10.18,10.19,9.75,10.04,5753567.6,5789612
20200114,9.97,10.16,9.56,9.65,7547803.2,7674768
20200115,9.66,10.2,9.66,10.07,8469340.8,8459491
20200116,10.07,10.48,9.74,10.13,6361703.2,6300093
20200117,10.25,10.27,9.81,9.9,3861018.4,3866792
20200120,9.85,10.1,9.33,10.02,4579654.4,4665115
20200121,10.02,10.06,9.77,9.91,2816765.6,2839201
20200122,9.88,10.0,9.58,9.7,5480145.2,5588600
20200123,9.86,9.93,9.22,9.4,3941834.4,4143420
20200203,8.46,8.46,8.46,8.46,798962.4,944400
20200204,7.68,8.52,7.63,8.31,5177123.2,6336683
20200205,8.45,9.14,8.39,8.95,3929743.2,4403962
20200206,9.04,9.14,8.72,8.83,3714814.8,4193496
20200207,8.91,8.93,8.46,8.7,3229795.2,3726085
20200210,8.69,9.05,8.62,9.01,2850817.0,3200130
20200211,8.96,9.0,8.4,8.45,5066760.0,5894235
20200212,8.57,9.3,8.57,9.3,7516741.6,8294912
20200213,9.72,9.72,8.95,9.04,7130419.2,7735651
20200214,9.2,9.28,8.9,9.11,3066270.0,3374001
20200217,9.35,9.39,9.02,9.19,3541015.2,3870101
20200218,9.19,9.48,9.03,9.36,5356186.4,5767215
20200219,9.36,10.16,9.16,10.13,5869393.6,6065550
20200220,9.93,10.63,9.88,10.22,6473301.2,6312981
20200221,10.2,10.57,10.0,10.38,5686951.2,5552476
20200224,11.4,11.42,10.92,11.42,6298204.0,5549524
20200225,11.4,12.47,11.06,12.05,15787774.4,13457582
20200226,11.68,12.25,11.39,11.6,9801056.8,8344586
20200227,11.64,12.0,11.3,11.6,8459833.6,7232494
20200228,11.3,11.46,10.72,11.0,7748239.2,6963644
20200302,11.14,11.75,11.05,11.65,8786022.4,7645080
20200303,11.67,11.87,11.3,11.48,9899755.2,8572685
20200304,11.25,11.45,10.83,11.27,6443452.4,5778802
